K,J,k_mult,n_buckets,n_candidates,recall_interleaved,recall_theoretical,cost
10,1,1,10,10,0.6533457040786743,0.6513215599000001,339680128.0
10,2,1,5,10,0.751165509223938,0.7584080895999998,679360256.0
10,5,1,2,10,0.8828362226486206,0.876953125,1128392960.4781353
10,10,1,1,10,1.0,1.0,1468073088.478135
10,1,4,40,40,0.8944382071495056,0.8946815165742489,339702256.2718458
10,2,4,20,40,0.9772600531578064,0.974802833321875,679382384.2718458
10,5,4,8,40,0.9996114373207092,0.9995578601956367,1128415088.7499812
10,10,4,4,40,1.0,1.0,1468095216.749981
10,1,16,160,160,0.9658236503601074,0.9723386612994656,339768641.0873833
10,2,16,80,160,0.998287558555603,0.998205210954042,679448769.0873833
10,5,16,32,160,1.0,0.9999994280977091,1128481473.5655186
10,10,16,16,160,1.0,1.0,1468161601.5655184
10,1,64,640,640,0.9941701889038086,0.9929979669163658,340034180.3495332
10,2,64,320,640,0.9998902678489685,0.9998840870534818,679714308.3495332
10,5,64,128,640,1.0,0.9999999994023426,1128747012.8276684
10,10,64,64,640,1.0,1.0,1468427140.8276682
10,1,256,2560,2560,0.9988217949867249,0.9982440173035764,341096337.3981327
10,2,256,1280,2560,0.999998152256012,0.9999926957802721,680776465.3981327
10,5,256,512,2560,1.0,0.9999999999994064,1129809169.8762681
10,10,256,256,2560,1.0,1.0,1469489297.876268
10,1,1024,10240,10240,0.9998525977134705,0.9995606612963626,345344965.5925308
10,2,1024,5120,10240,1.0,0.9999995425491424,685025093.5925307
10,5,1024,2048,10240,1.0,0.9999999999999994,1134057798.070666
10,10,1024,1024,10240,1.0,1.0,1473737926.0706658
10,1,4096,40960,40960,0.9999909996986389,0.999890143871002,362339478.370123
10,2,4096,20480,40960,1.0,0.9999999713946595,702019606.370123
10,5,4096,8192,40960,1.0,1.0,1151052310.8482585
10,10,4096,4096,40960,1.0,1.0,1490732438.8482583
10,1,16384,163840,163840,0.999998152256012,0.9999725346267176,430317529.48049223
10,2,16384,81920,163840,1.0,0.999999998211937,769997657.4804922
10,5,16384,32768,163840,1.0,1.0,1219030361.9586275
10,10,16384,16384,163840,1.0,1.0,1558710489.9586272
10,1,245760,2457600,2457600,1.0,0.9999981689472992,1699241150.2073832
10,2,245760,1228800,2457600,1.0,0.9999999999920528,2038921278.2073832
10,5,245760,491520,2457600,1.0,1.0,2487953982.6855183
10,10,245760,245760,2457600,1.0,1.0,2827634110.6855183
100,1,1,100,100,0.6374204158782959,0.6339676587267704,339680128.0
100,2,1,50,100,0.7327062487602234,0.7320543666616212,679360256.0
100,4,1,25,100,0.8088027238845825,0.80858704274333,1019040384.0
100,10,1,10,100,0.8826243281364441,0.8813211878579605,1468073088.478135
100,50,1,2,100,0.9621247053146362,0.9602053813064105,2256785920.9562707
100,100,1,1,100,1.0,1.0,2596466048.9562707
100,1,4,400,400,0.8898300528526306,0.8857718416411253,340071493.4369165
100,2,4,200,400,0.9693521857261658,0.9681037450011797,679751621.4369165
100,4,4,100,400,0.9965722560882568,0.9959529185006444,1019431749.4369165
100,10,4,40,400,0.9999861717224121,0.9999786447431995,1468464453.9150515
100,50,4,8,400,0.9999996423721313,1.0,2257177286.393187
100,100,4,4,400,0.9999996423721313,1.0,2596857414.393187
100,1,16,1600,1600,0.972787618637085,0.9696846810740587,341245589.7476659
100,2,16,800,1600,0.9981433749198914,0.9976212386423718,680925717.7476659
100,4,16,400,1600,0.9999839663505554,0.9999748781933778,1020605845.7476659
100,10,16,160,1600,0.9999996423721313,0.9999999999189332,1469638550.225801
100,50,16,32,1600,0.999999463558197,1.0,2258351382.7039366
100,100,16,16,1600,0.9999998807907104,1.0,2598031510.7039366
100,1,64,6400,6400,0.9948335886001587,0.9923049534038403,345941974.99066347
100,2,64,3200,6400,0.9999231100082397,0.9998444617709852,685622102.9906634
100,4,64,1600,6400,0.9999998807907104,0.9999998895736394,1025302230.9906634
100,10,64,640,6400,0.9999998807907104,1.0,1474334935.4687986
100,50,64,128,6400,0.999999463558197,1.0,2263047767.946934
100,100,64,64,6400,0.999999463558197,1.0,2602727895.946934
100,1,256,25600,25600,0.9993038773536682,0.9980688712607109,364727515.9626538
100,2,256,12800,25600,0.9999976754188538,0.9999901679269483,704407643.9626539
100,4,256,6400,25600,0.9999998807907104,0.9999999995556692,1044087771.9626539
100,10,256,2560,25600,0.9999998807907104,1.0,1493120476.440789
100,50,256,512,25600,0.9999992847442627,1.0,2281833308.9189243
100,100,256,256,25600,0.999999463558197,1.0,2621513436.9189243
100,1,1024,102400,102400,0.9999014139175415,0.9995167557351244,439869679.85061526
100,2,1024,51200,102400,0.9999996423721313,0.9999993837474317,779549807.8506153
100,4,1024,25600,102400,0.9999996423721313,0.9999999999982511,1119229935.8506153
100,10,1024,10240,102400,0.9999998807907104,1.0,1568262640.3287504
100,50,1024,2048,102400,0.999999463558197,1.0,2356975472.8068857
100,100,1024,1024,102400,0.9999992847442627,1.0,2696655600.8068857
100,1,4096,409600,409600,0.99998539686203,0.9998791600281255,740438335.402461
100,2,4096,204800,409600,1.0,0.9999999614568442,1080118463.402461
100,4,4096,102400,409600,1.0,0.9999999999999932,1419798591.402461
100,10,4096,40960,409600,1.0,1.0,1868831295.8805962
100,50,4096,8192,409600,0.9999996423721313,1.0,2657544128.3587317
100,100,4096,4096,409600,0.9999992847442627,1.0,2997224256.3587317
100,1,16384,1638400,1638400,1.0,0.9999697882000267,1942712957.6098442
100,2,16384,819200,1638400,1.0,0.9999999975906247,2282393085.609844
100,4,16384,409600,1638400,1.0,1.0,2622073213.609844
100,10,16384,163840,1638400,0.9999998807907104,1.0,3071105918.0879793
100,50,16384,32768,1638400,0.9999998807907104,1.0,3859818750.566115
100,100,16384,16384,1638400,0.9999996423721313,1.0,4199498878.566115
